,row_id,order_id,order_date,ship_date,ship_mode,customer_id,customer_name,cust_age,cust_gender,segment,country,city,state,postal_code,region,product_id,category,sub_category,product_name,sales,quantity,discount,profit,returned
575,576,CA-2016-149713,18/09/16,22/09/16,Second Class,TG-21640,Trudy Glocke,31,Male,Consumer,United States,Long Beach,California,90805,West,OFF-PA-10004530,Office Supplies,Paper,Personal Creations Ink Jet Cards and Labels,160.72,14,0,78.7528,FALSE
576,577,CA-2016-149713,18/09/16,22/09/16,Second Class,TG-21640,Trudy Glocke,49,Male,Consumer,United States,Long Beach,California,90805,West,OFF-PA-10001450,Office Supplies,Paper,Rediform S.O.S. Phone Message Books,19.92,4,0,9.7608,FALSE
577,578,CA-2016-149713,18/09/16,22/09/16,Second Class,TG-21640,Trudy Glocke,50,Male,Consumer,United States,Long Beach,California,90805,West,OFF-SU-10001574,Office Supplies,Supplies,Acme Value Line Scissors,7.3,2,0,2.19,FALSE
578,579,CA-2018-118640,20/07/18,26/07/18,Standard Class,CS-11950,Carlos Soltero,27,Male,Consumer,United States,Chicago,Illinois,60610,Central,OFF-ST-10002974,Office Supplies,Storage,"Trav-L-File Heavy-Duty Shuttle II, Black",69.712,2,0.2,8.714,FALSE
579,580,CA-2018-118640,20/07/18,26/07/18,Standard Class,CS-11950,Carlos Soltero,61,Male,Consumer,United States,Chicago,Illinois,60610,Central,FUR-FU-10001475,Furniture,Furnishings,"Contract Clock, 14"", Brown",8.792,1,0.6,-5.7148,FALSE
580,581,CA-2016-132906,10/09/16,14/09/16,Standard Class,CC-12145,Charles Crestani,58,Male,Consumer,United States,Los Angeles,California,90004,West,OFF-SU-10004498,Office Supplies,Supplies,Martin-Yale Premier Letter Opener,51.52,4,0,1.5456,FALSE
581,582,CA-2018-145233,01/12/18,05/12/18,Standard Class,DV-13465,Dianna Vittorini,41,Male,Consumer,United States,Denver,Colorado,80219,West,TEC-PH-10004977,Technology,Phones,GE 30524EE4,470.376,3,0.2,52.9173,FALSE
582,583,CA-2018-145233,01/12/18,05/12/18,Standard Class,DV-13465,Dianna Vittorini,29,Male,Consumer,United States,Denver,Colorado,80219,West,TEC-PH-10000586,Technology,Phones,AT&T SB67148 SynJ,105.584,2,0.2,9.2386,FALSE
583,584,CA-2018-145233,01/12/18,05/12/18,Standard Class,DV-13465,Dianna Vittorini,54,Male,Consumer,United States,Denver,Colorado,80219,West,OFF-AP-10000358,Office Supplies,Appliances,Fellowes Basic Home/Office Series Surge Protectors,31.152,3,0.2,3.5046,FALSE
584,585,CA-2018-145233,01/12/18,05/12/18,Standard Class,DV-13465,Dianna Vittorini,40,Male,Consumer,United States,Denver,Colorado,80219,West,OFF-BI-10002764,Office Supplies,Binders,Recycled Pressboard Report Cover with Reinforced Top Hinge,6.783,7,0.7,-4.7481,FALSE
585,586,CA-2018-145233,01/12/18,05/12/18,Standard Class,DV-13465,Dianna Vittorini,45,Male,Consumer,United States,Denver,Colorado,80219,West,TEC-PH-10001254,Technology,Phones,Jabra BIZ 2300 Duo QD Duo Corded Headset,406.368,4,0.2,30.4776,FALSE
586,587,CA-2016-128139,03/07/16,09/07/16,Standard Class,BD-11725,Bruce Degenhardt,42,Male,Consumer,United States,Richmond,Kentucky,40475,South,FUR-CH-10003956,Furniture,Chairs,Novimex High-Tech Fabric Mesh Task Chair,70.98,1,0,4.9686,FALSE
587,588,CA-2016-128139,03/07/16,09/07/16,Standard Class,BD-11725,Bruce Degenhardt,26,Male,Consumer,United States,Richmond,Kentucky,40475,South,OFF-LA-10003930,Office Supplies,Labels,"Dot Matrix Printer Tape Reel Labels, White, 5000/Box",294.93,3,0,144.5157,FALSE
588,589,US-2017-156986,20/03/17,24/03/17,Standard Class,ZC-21910,Zuschuss Carroll,56,Female,Consumer,United States,Salem,Oregon,97301,West,TEC-PH-10003800,Technology,Phones,i.Sound Portable Power - 8000 mAh,84.784,2,0.2,-20.1362,TRUE
589,590,US-2017-156986,20/03/17,24/03/17,Standard Class,ZC-21910,Zuschuss Carroll,25,Female,Consumer,United States,Salem,Oregon,97301,West,OFF-PA-10002005,Office Supplies,Paper,Xerox 225,20.736,4,0.2,7.2576,TRUE
590,591,US-2017-156986,20/03/17,24/03/17,Standard Class,ZC-21910,Zuschuss Carroll,58,Female,Consumer,United States,Salem,Oregon,97301,West,OFF-BI-10002498,Office Supplies,Binders,Clear Mylar Reinforcing Strips,16.821,3,0.7,-12.8961,TRUE
591,592,US-2017-156986,20/03/17,24/03/17,Standard Class,ZC-21910,Zuschuss Carroll,56,Female,Consumer,United States,Salem,Oregon,97301,West,OFF-PA-10004101,Office Supplies,Paper,Xerox 1894,10.368,2,0.2,3.6288,TRUE
592,593,CA-2015-135405,09/01/15,13/01/15,Standard Class,MS-17830,Melanie Seite,57,Male,Consumer,United States,Laredo,Texas,78041,Central,OFF-AR-10004078,Office Supplies,Art,Newell 312,9.344,2,0.2,1.168,FALSE
593,594,CA-2015-135405,09/01/15,13/01/15,Standard Class,MS-17830,Melanie Seite,49,Male,Consumer,United States,Laredo,Texas,78041,Central,TEC-AC-10001266,Technology,Accessories,Memorex Micro Travel Drive 8 GB,31.2,3,0.2,9.75,FALSE
594,595,CA-2015-131450,08/08/15,15/08/15,Standard Class,LR-16915,Lena Radford,44,Male,Consumer,United States,San Diego,California,92024,West,OFF-AP-10004708,Office Supplies,Appliances,Fellowes Superior 10 Outlet Split Surge Protector,76.12,2,0,22.0748,FALSE
595,596,CA-2015-131450,08/08/15,15/08/15,Standard Class,LR-16915,Lena Radford,33,Male,Consumer,United States,San Diego,California,92024,West,TEC-CO-10004115,Technology,Copiers,Sharp AL-1530CS Digital Copier,1199.976,3,0.2,434.9913,FALSE
596,597,CA-2015-131450,08/08/15,15/08/15,Standard Class,LR-16915,Lena Radford,59,Male,Consumer,United States,San Diego,California,92024,West,TEC-PH-10002398,Technology,Phones,AT&T 1070 Corded Phone,445.96,5,0.2,55.745,FALSE
597,598,CA-2015-131450,08/08/15,15/08/15,Standard Class,LR-16915,Lena Radford,52,Male,Consumer,United States,San Diego,California,92024,West,FUR-FU-10001979,Furniture,Furnishings,Dana Halogen Swing-Arm Architect Lamp,327.76,8,0,91.7728,FALSE
598,599,CA-2017-120180,14/07/17,16/07/17,First Class,TP-21130,Theone Pippenger,57,Male,Consumer,United States,Philadelphia,Pennsylvania,19134,East,OFF-SU-10004115,Office Supplies,Supplies,Acme Stainless Steel Office Snips,11.632,2,0.2,1.0178,FALSE
599,600,US-2017-100720,16/07/17,21/07/17,Standard Class,CK-12205,Chloris Kastensmidt,30,Male,Consumer,United States,Philadelphia,Pennsylvania,19120,East,TEC-PH-10001425,Technology,Phones,Mophie Juice Pack Helium for iPhone,143.982,3,0.4,-28.7964,FALSE
600,601,US-2017-100720,16/07/17,21/07/17,Standard Class,CK-12205,Chloris Kastensmidt,33,Male,Consumer,United States,Philadelphia,Pennsylvania,19120,East,TEC-PH-10003963,Technology,Phones,GE 2-Jack Phone Line Splitter,494.376,4,0.4,-115.3544,FALSE
601,602,US-2017-100720,16/07/17,21/07/17,Standard Class,CK-12205,Chloris Kastensmidt,39,Female,Consumer,United States,Philadelphia,Pennsylvania,19120,East,OFF-SU-10001574,Office Supplies,Supplies,Acme Value Line Scissors,5.84,2,0.2,0.73,FALSE
602,603,CA-2015-149958,15/03/15,19/03/15,Standard Class,AS-10240,Alan Shonely,41,Female,Consumer,United States,Tampa,Florida,33614,South,OFF-ST-10001490,Office Supplies,Storage,"Hot File 7-Pocket, Floor Stand",142.776,1,0.2,17.847,FALSE
603,604,CA-2015-149958,15/03/15,19/03/15,Standard Class,AS-10240,Alan Shonely,58,Female,Consumer,United States,Tampa,Florida,33614,South,FUR-FU-10001756,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Photo Frame, Mahogany",45.696,3,0.2,5.1408,FALSE
604,605,CA-2015-149958,15/03/15,19/03/15,Standard Class,AS-10240,Alan Shonely,49,Female,Consumer,United States,Tampa,Florida,33614,South,OFF-BI-10000773,Office Supplies,Binders,Insertable Tab Post Binder Dividers,7.218,3,0.7,-5.5338,FALSE
605,606,CA-2015-149958,15/03/15,19/03/15,Standard Class,AS-10240,Alan Shonely,37,Female,Consumer,United States,Tampa,Florida,33614,South,OFF-BI-10001543,Office Supplies,Binders,GBC VeloBinder Manual Binding System,43.188,4,0.7,-31.6712,FALSE
606,607,CA-2015-149958,15/03/15,19/03/15,Standard Class,AS-10240,Alan Shonely,30,Female,Consumer,United States,Tampa,Florida,33614,South,OFF-PA-10002120,Office Supplies,Paper,Xerox 1889,131.904,3,0.2,47.8152,FALSE
607,608,US-2015-105767,23/05/15,27/05/15,Standard Class,AR-10510,Andrew Roberts,40,Female,Consumer,United States,Philadelphia,Pennsylvania,19134,East,OFF-BI-10000848,Office Supplies,Binders,Angle-D Ring Binders,3.282,2,0.7,-2.6256,FALSE
608,609,US-2015-105767,23/05/15,27/05/15,Standard Class,AR-10510,Andrew Roberts,32,Male,Consumer,United States,Philadelphia,Pennsylvania,19134,East,OFF-AR-10001246,Office Supplies,Art,Newell 317,21.168,9,0.2,2.3814,FALSE
609,610,US-2015-105767,23/05/15,27/05/15,Standard Class,AR-10510,Andrew Roberts,51,Male,Consumer,United States,Philadelphia,Pennsylvania,19134,East,TEC-PH-10003092,Technology,Phones,Motorola L804,55.188,2,0.4,-10.1178,FALSE
610,611,CA-2017-161816,28/04/17,01/05/17,First Class,NB-18655,Nona Balk,38,Male,Corporate,United States,Dallas,Texas,75217,Central,TEC-PH-10003012,Technology,Phones,Nortel Meridian M3904 Professional Digital phone,369.576,3,0.2,41.5773,FALSE
611,612,CA-2017-161816,28/04/17,01/05/17,First Class,NB-18655,Nona Balk,34,Male,Corporate,United States,Dallas,Texas,75217,Central,OFF-LA-10004345,Office Supplies,Labels,Avery 493,15.712,4,0.2,5.6956,FALSE
612,613,CA-2017-121223,11/09/17,13/09/17,Second Class,GD-14590,Giulietta Dortch,42,Male,Corporate,United States,Philadelphia,Pennsylvania,19143,East,OFF-PA-10001204,Office Supplies,Paper,Xerox 1972,8.448,2,0.2,2.64,FALSE
613,614,CA-2017-121223,11/09/17,13/09/17,Second Class,GD-14590,Giulietta Dortch,28,Male,Corporate,United States,Philadelphia,Pennsylvania,19143,East,TEC-PH-10004667,Technology,Phones,Cisco 8x8 Inc. 6753i IP Business Phone System,728.946,9,0.4,-157.9383,FALSE
614,615,CA-2018-138611,14/11/18,17/11/18,Second Class,CK-12595,Clytie Kelty,54,Male,Consumer,United States,Grove City,Ohio,43123,East,TEC-PH-10000011,Technology,Phones,PureGear Roll-On Screen Protector,119.94,10,0.4,15.992,FALSE
615,616,CA-2018-138611,14/11/18,17/11/18,Second Class,CK-12595,Clytie Kelty,27,Female,Consumer,United States,Grove City,Ohio,43123,East,OFF-BI-10002949,Office Supplies,Binders,Prestige Round Ring Binders,3.648,2,0.7,-2.7968,FALSE
616,617,CA-2018-117947,18/08/18,23/08/18,Second Class,NG-18355,Nat Gilpin,37,Female,Corporate,United States,New York City,New York,10011,East,FUR-FU-10003849,Furniture,Furnishings,"DAX Metal Frame, Desktop, Stepped-Edge",40.48,2,0,15.7872,FALSE
617,618,CA-2018-117947,18/08/18,23/08/18,Second Class,NG-18355,Nat Gilpin,60,Female,Corporate,United States,New York City,New York,10011,East,FUR-FU-10000010,Furniture,Furnishings,"DAX Value U-Channel Document Frames, Easel Back",9.94,2,0,3.0814,FALSE
618,619,CA-2018-117947,18/08/18,23/08/18,Second Class,NG-18355,Nat Gilpin,56,Female,Corporate,United States,New York City,New York,10011,East,OFF-BI-10002824,Office Supplies,Binders,Recycled Easel Ring Binders,107.424,9,0.2,33.57,FALSE
619,620,CA-2018-117947,18/08/18,23/08/18,Second Class,NG-18355,Nat Gilpin,38,Female,Corporate,United States,New York City,New York,10011,East,TEC-PH-10002538,Technology,Phones,Grandstream GXP1160 VoIP phone,37.91,1,0,10.9939,FALSE
620,621,CA-2018-117947,18/08/18,23/08/18,Second Class,NG-18355,Nat Gilpin,40,Female,Corporate,United States,New York City,New York,10011,East,FUR-FU-10000521,Furniture,Furnishings,"Seth Thomas 14"" Putty-Colored Wall Clock",88.02,3,0,27.2862,FALSE
621,622,US-2015-111171,26/12/15,31/12/15,Standard Class,CA-12265,Christina Anderson,43,Female,Consumer,United States,Chicago,Illinois,60610,Central,OFF-BI-10002103,Office Supplies,Binders,"Cardinal Slant-D Ring Binder, Heavy Gauge Vinyl",8.69,5,0.8,-14.773,FALSE
622,623,CA-2016-138009,29/11/16,03/12/16,Standard Class,SF-20965,Sylvia Foulston,45,Female,Corporate,United States,Dearborn,Michigan,48126,Central,FUR-CH-10004853,Furniture,Chairs,"Global Manager's Adjustable Task Chair, Storm",301.96,2,0,87.5684,FALSE
623,624,CA-2016-138009,29/11/16,03/12/16,Standard Class,SF-20965,Sylvia Foulston,37,Male,Corporate,United States,Dearborn,Michigan,48126,Central,OFF-AP-10000179,Office Supplies,Appliances,Honeywell Enviracaire Portable HEPA Air Cleaner for up to 10 x 16 Room,555.21,5,0.1,178.901,FALSE
624,625,CA-2016-138009,29/11/16,03/12/16,Standard Class,SF-20965,Sylvia Foulston,31,Male,Corporate,United States,Dearborn,Michigan,48126,Central,OFF-ST-10001272,Office Supplies,Storage,"Mini 13-1/2 Capacity Data Binder Rack, Pearl",523.48,4,0,130.87,FALSE
625,626,CA-2016-138009,29/11/16,03/12/16,Standard Class,SF-20965,Sylvia Foulston,46,Male,Corporate,United States,Dearborn,Michigan,48126,Central,OFF-AR-10004042,Office Supplies,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",161.82,9,0,46.9278,FALSE
626,627,CA-2018-163020,15/09/18,19/09/18,Standard Class,MO-17800,Meg O'Connel,46,Male,Home Office,United States,New York City,New York,10009,East,FUR-FU-10000221,Furniture,Furnishings,"Master Caster Door Stop, Brown",35.56,7,0,12.0904,FALSE
627,628,CA-2018-153787,19/05/18,23/05/18,Standard Class,AT-10735,Annie Thurman,59,Male,Consumer,United States,Seattle,Washington,98115,West,OFF-AP-10001563,Office Supplies,Appliances,Belkin Premiere Surge Master II 8-outlet surge protector,97.16,2,0,28.1764,FALSE
628,629,CA-2018-133431,17/12/18,21/12/18,Standard Class,LC-17140,Logan Currie,53,Male,Consumer,United States,San Francisco,California,94122,West,OFF-BI-10000605,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Executive Red",15.24,5,0.2,5.1435,FALSE
629,630,CA-2018-133431,17/12/18,21/12/18,Standard Class,LC-17140,Logan Currie,38,Male,Consumer,United States,San Francisco,California,94122,West,OFF-PA-10002615,Office Supplies,Paper,"Ampad Gold Fibre Wirebound Steno Books, 6"" x 9"", Gregg Ruled",13.23,3,0,6.0858,FALSE
630,631,US-2017-135720,11/12/17,13/12/17,Second Class,FM-14380,Fred McMath,63,Female,Consumer,United States,Aurora,Colorado,80013,West,OFF-ST-10001963,Office Supplies,Storage,Tennsco Regal Shelving Units,243.384,3,0.2,-51.7191,TRUE
631,632,US-2017-135720,11/12/17,13/12/17,Second Class,FM-14380,Fred McMath,44,Female,Consumer,United States,Aurora,Colorado,80013,West,TEC-AC-10001267,Technology,Accessories,Imation 32GB Pocket Pro USB 3.0 Flash Drive - 32 GB - Black - 1 P ...,119.8,5,0.2,29.95,TRUE
632,633,US-2017-135720,11/12/17,13/12/17,Second Class,FM-14380,Fred McMath,47,Female,Consumer,United States,Aurora,Colorado,80013,West,TEC-PH-10002103,Technology,Phones,Jabra SPEAK 410,300.768,4,0.2,30.0768,TRUE
633,634,CA-2018-144694,24/09/18,26/09/18,Second Class,BD-11605,Brian Dahlen,30,Male,Consumer,United States,Miami,Florida,33180,South,TEC-AC-10002857,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 1/Pack",17.88,3,0.2,2.4585,FALSE
634,635,CA-2018-144694,24/09/18,26/09/18,Second Class,BD-11605,Brian Dahlen,34,Female,Consumer,United States,Miami,Florida,33180,South,OFF-LA-10003930,Office Supplies,Labels,"Dot Matrix Printer Tape Reel Labels, White, 5000/Box",235.944,3,0.2,85.5297,FALSE
635,636,CA-2016-168004,04/10/16,09/10/16,Second Class,DJ-13420,Denny Joy,51,Female,Corporate,United States,Warner Robins,Georgia,31088,South,FUR-CH-10001482,Furniture,Chairs,Office Star - Mesh Screen back chair with Vinyl seat,392.94,3,0,43.2234,FALSE
636,637,US-2017-123470,15/08/17,21/08/17,Standard Class,ME-17725,Max Engle,41,Female,Consumer,United States,Aurora,Colorado,80013,West,OFF-BI-10001989,Office Supplies,Binders,Premium Transparent Presentation Covers by GBC,18.882,3,0.7,-13.8468,FALSE
637,638,US-2017-123470,15/08/17,21/08/17,Standard Class,ME-17725,Max Engle,41,Female,Consumer,United States,Aurora,Colorado,80013,West,OFF-AP-10003287,Office Supplies,Appliances,Tripp Lite TLP810NET Broadband Surge for Modem/Fax,122.328,3,0.2,12.2328,FALSE
638,639,CA-2017-115917,20/05/17,25/05/17,Standard Class,RB-19465,Rick Bensley,49,Female,Home Office,United States,Vallejo,California,94591,West,FUR-FU-10000576,Furniture,Furnishings,Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base,1049.2,5,0,272.792,TRUE
639,640,CA-2017-115917,20/05/17,25/05/17,Standard Class,RB-19465,Rick Bensley,60,Female,Home Office,United States,Vallejo,California,94591,West,OFF-BI-10004728,Office Supplies,Binders,Wilson Jones Turn Tabs Binder Tool for Ring Binders,15.424,4,0.2,5.0128,TRUE
640,641,CA-2017-147067,18/12/17,22/12/17,Standard Class,JD-16150,Justin Deggeller,30,Female,Corporate,United States,Minneapolis,Minnesota,55407,Central,FUR-FU-10000732,Furniture,Furnishings,Eldon 200 Class Desk Accessories,18.84,3,0,6.0288,FALSE
641,642,CA-2018-167913,30/07/18,03/08/18,Second Class,JL-15835,John Lee,49,Female,Consumer,United States,Mission Viejo,California,92691,West,OFF-ST-10000585,Office Supplies,Storage,Economy Rollaway Files,330.4,2,0,85.904,FALSE
642,643,CA-2018-167913,30/07/18,03/08/18,Second Class,JL-15835,John Lee,28,Female,Consumer,United States,Mission Viejo,California,92691,West,OFF-LA-10002787,Office Supplies,Labels,Avery 480,26.25,7,0,12.6,FALSE
643,644,CA-2018-106103,10/06/18,15/06/18,Standard Class,SC-20305,Sean Christensen,61,Female,Consumer,United States,Rochester Hills,Michigan,48307,Central,TEC-AC-10003832,Technology,Accessories,Imation 16GB Mini TravelDrive USB 2.0 Flash Drive,132.52,4,0,54.3332,FALSE
644,645,US-2018-127719,21/07/18,25/07/18,Standard Class,TW-21025,Tamara Willingham,44,Male,Home Office,United States,Plainfield,New Jersey,7060,East,OFF-PA-10001934,Office Supplies,Paper,Xerox 1993,6.48,1,0,3.1752,FALSE
645,646,CA-2018-126221,30/12/18,05/01/19,Standard Class,CC-12430,Chuck Clark,28,Male,Home Office,United States,Columbus,Indiana,47201,Central,OFF-AP-10002457,Office Supplies,Appliances,"Eureka The Boss Plus 12-Amp Hard Box Upright Vacuum, Red",209.3,2,0,56.511,FALSE
646,647,CA-2017-103947,01/04/17,08/04/17,Standard Class,BB-10990,Barry Blumstein,46,Male,Corporate,United States,Sierra Vista,Arizona,85635,West,OFF-FA-10003112,Office Supplies,Fasteners,Staples,31.56,5,0.2,9.8625,FALSE
647,648,CA-2017-103947,01/04/17,08/04/17,Standard Class,BB-10990,Barry Blumstein,33,Male,Corporate,United States,Sierra Vista,Arizona,85635,West,OFF-AP-10002350,Office Supplies,Appliances,Belkin F9H710-06 7 Outlet SurgeMaster Surge Protector,30.144,2,0.2,3.0144,FALSE
648,649,CA-2017-160745,11/12/17,16/12/17,Second Class,AR-10825,Anthony Rawles,56,Male,Corporate,United States,Vancouver,Washington,98661,West,FUR-FU-10001935,Furniture,Furnishings,3M Hangers With Command Adhesive,14.8,4,0,6.068,FALSE
649,650,CA-2017-160745,11/12/17,16/12/17,Second Class,AR-10825,Anthony Rawles,58,Male,Corporate,United States,Vancouver,Washington,98661,West,TEC-PH-10003273,Technology,Phones,AT&T TR1909W,302.376,3,0.2,22.6782,FALSE
650,651,CA-2017-160745,11/12/17,16/12/17,Second Class,AR-10825,Anthony Rawles,37,Male,Corporate,United States,Vancouver,Washington,98661,West,TEC-AC-10001142,Technology,Accessories,First Data FD10 PIN Pad,316,4,0,31.6,FALSE
651,652,CA-2017-132661,23/10/17,29/10/17,Standard Class,SR-20740,Steven Roelle,47,Female,Home Office,United States,New York City,New York,10024,East,OFF-PA-10000482,Office Supplies,Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",379.4,10,0,178.318,FALSE
652,653,CA-2018-140844,19/06/18,23/06/18,Standard Class,AR-10405,Allen Rosenblatt,48,Female,Corporate,United States,New York City,New York,10035,East,OFF-PA-10003892,Office Supplies,Paper,Xerox 1943,97.82,2,0,45.9754,FALSE
653,654,CA-2018-140844,19/06/18,23/06/18,Standard Class,AR-10405,Allen Rosenblatt,46,Female,Corporate,United States,New York City,New York,10035,East,TEC-AC-10001101,Technology,Accessories,Sony 16GB Class 10 Micro SDHC R40 Memory Card,103.12,8,0,10.312,FALSE
654,655,CA-2017-137239,22/08/17,28/08/17,Standard Class,CR-12730,Craig Reiter,33,Female,Consumer,United States,Columbus,Ohio,43229,East,OFF-AP-10002439,Office Supplies,Appliances,Tripp Lite Isotel 8 Ultra 8 Outlet Metal Surge,113.552,2,0.2,8.5164,FALSE
655,656,CA-2017-137239,22/08/17,28/08/17,Standard Class,CR-12730,Craig Reiter,56,Female,Consumer,United States,Columbus,Ohio,43229,East,OFF-BI-10002827,Office Supplies,Binders,Avery Durable Poly Binders,3.318,2,0.7,-2.6544,FALSE
656,657,CA-2017-137239,22/08/17,28/08/17,Standard Class,CR-12730,Craig Reiter,59,Female,Consumer,United States,Columbus,Ohio,43229,East,OFF-EN-10002230,Office Supplies,Envelopes,Airmail Envelopes,134.288,2,0.2,45.3222,FALSE
657,658,US-2017-156097,19/09/17,19/09/17,Same Day,EH-14125,Eugene Hildebrand,50,Male,Home Office,United States,Aurora,Illinois,60505,Central,FUR-CH-10001215,Furniture,Chairs,Global Troy Executive Leather Low-Back Tilter,701.372,2,0.3,-50.098,FALSE
658,659,US-2017-156097,19/09/17,19/09/17,Same Day,EH-14125,Eugene Hildebrand,59,Male,Home Office,United States,Aurora,Illinois,60505,Central,OFF-BI-10004654,Office Supplies,Binders,Avery Binding System Hidden Tab Executive Style Index Sets,2.308,2,0.8,-3.462,FALSE
659,660,CA-2016-146563,24/08/16,28/08/16,Standard Class,CB-12025,Cassandra Brandow,56,Male,Consumer,United States,Arlington,Texas,76017,Central,OFF-ST-10001490,Office Supplies,Storage,"Hot File 7-Pocket, Floor Stand",999.432,7,0.2,124.929,FALSE
660,661,CA-2016-146563,24/08/16,28/08/16,Standard Class,CB-12025,Cassandra Brandow,27,Male,Consumer,United States,Arlington,Texas,76017,Central,OFF-ST-10001511,Office Supplies,Storage,Space Solutions Commercial Steel Shelving,724.08,14,0.2,-135.765,FALSE
661,662,CA-2016-146563,24/08/16,28/08/16,Standard Class,CB-12025,Cassandra Brandow,39,Male,Consumer,United States,Arlington,Texas,76017,Central,FUR-TA-10001768,Furniture,Tables,Hon Racetrack Conference Tables,918.785,5,0.3,-118.1295,FALSE
662,663,CA-2016-146563,24/08/16,28/08/16,Standard Class,CB-12025,Cassandra Brandow,24,Male,Consumer,United States,Arlington,Texas,76017,Central,OFF-BI-10003981,Office Supplies,Binders,"Avery Durable Plastic 1"" Binders",2.724,3,0.8,-4.2222,FALSE
663,664,CA-2017-123666,26/03/17,30/03/17,Standard Class,SP-20545,Sibella Parks,38,Male,Corporate,United States,New York City,New York,10011,East,OFF-ST-10001522,Office Supplies,Storage,"Gould Plastics 18-Pocket Panel Bin, 34w x 5-1/4d x 20-1/2h",459.95,5,0,18.398,FALSE
664,665,CA-2017-143308,04/11/17,04/11/17,Same Day,RC-19825,Roy Collins,45,Male,Consumer,United States,Louisville,Kentucky,40214,South,OFF-FA-10000621,Office Supplies,Fasteners,"OIC Colored Binder Clips, Assorted Sizes",10.74,3,0,5.2626,FALSE
665,666,CA-2018-132682,08/06/18,10/06/18,Second Class,TH-21235,Tiffany House,31,Male,Corporate,United States,Dallas,Texas,75081,Central,OFF-SU-10004231,Office Supplies,Supplies,Acme Tagit Stainless Steel Antibacterial Scissors,23.76,3,0.2,2.079,FALSE
666,667,CA-2018-132682,08/06/18,10/06/18,Second Class,TH-21235,Tiffany House,57,Male,Corporate,United States,Dallas,Texas,75081,Central,OFF-PA-10000474,Office Supplies,Paper,Easy-staple paper,85.056,3,0.2,28.7064,FALSE
667,668,CA-2018-132682,08/06/18,10/06/18,Second Class,TH-21235,Tiffany House,32,Male,Corporate,United States,Dallas,Texas,75081,Central,TEC-PH-10004042,Technology,Phones,ClearOne Communications CHAT 70 OC Speaker Phone,381.576,3,0.2,28.6182,FALSE
668,669,CA-2015-156314,24/12/15,26/12/15,First Class,RP-19390,Resi Pölking,36,Male,Consumer,United States,Cleveland,Ohio,44105,East,FUR-FU-10003096,Furniture,Furnishings,"Master Giant Foot Doorstop, Safety Yellow",30.36,5,0.2,8.7285,FALSE
669,670,US-2018-106663,09/06/18,13/06/18,Standard Class,MO-17800,Meg O'Connel,48,Male,Home Office,United States,Chicago,Illinois,60653,Central,FUR-FU-10002759,Furniture,Furnishings,12-1/2 Diameter Round Wall Clock,23.976,3,0.6,-14.3856,FALSE
670,671,US-2018-106663,09/06/18,13/06/18,Standard Class,MO-17800,Meg O'Connel,45,Male,Home Office,United States,Chicago,Illinois,60653,Central,FUR-TA-10000688,Furniture,Tables,"Chromcraft Bull-Nose Wood Round Conference Table Top, Wood Base",108.925,1,0.5,-71.8905,FALSE
671,672,US-2018-106663,09/06/18,13/06/18,Standard Class,MO-17800,Meg O'Connel,45,Male,Home Office,United States,Chicago,Illinois,60653,Central,OFF-PA-10002377,Office Supplies,Paper,"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4""X8 1/2"", 200/Messages",36.352,8,0.2,11.36,FALSE
672,673,CA-2018-111178,15/06/18,22/06/18,Standard Class,TD-20995,Tamara Dahlen,33,Male,Consumer,United States,Quincy,Illinois,62301,Central,OFF-AR-10001954,Office Supplies,Art,Newell 331,19.56,5,0.2,1.7115,FALSE
673,674,CA-2018-130351,05/12/18,08/12/18,First Class,RB-19570,Rob Beeghly,37,Male,Consumer,United States,Columbus,Indiana,47201,Central,OFF-AP-10004532,Office Supplies,Appliances,Kensington 6 Outlet Guardian Standard Surge Protector,61.44,3,0,16.5888,FALSE
674,675,CA-2018-130351,05/12/18,08/12/18,First Class,RB-19570,Rob Beeghly,49,Male,Consumer,United States,Columbus,Indiana,47201,Central,OFF-PA-10002137,Office Supplies,Paper,"Southworth 100% Résumé Paper, 24lb.",38.9,5,0,17.505,FALSE
675,676,CA-2018-130351,05/12/18,08/12/18,First Class,RB-19570,Rob Beeghly,33,Male,Consumer,United States,Columbus,Indiana,47201,Central,TEC-AC-10003832,Technology,Accessories,Imation 16GB Mini TravelDrive USB 2.0 Flash Drive,99.39,3,0,40.7499,FALSE
676,677,US-2018-119438,18/03/18,23/03/18,Standard Class,CD-11980,Carol Darley,35,Male,Consumer,United States,Tyler,Texas,75701,Central,OFF-AP-10000804,Office Supplies,Appliances,Hoover Portapower Portable Vacuum,2.688,3,0.8,-7.392,FALSE
